eta2r,eta2not,epsilon2r,epsilon2not,omega2r,omega2not,eta2p,N
0.063060941,0.065140888,0.067056744,0.064676092,0.067310788,0.064523038,0.310344828,30
0.056275455,0.057480383,0.060266984,0.057620874,0.0605526,0.057555244,0.310344828,40
0.050688683,0.051488354,0.054019897,0.051342392,0.05427269,0.051271715,0.310344828,50
0.045294151,0.045096141,0.047980567,0.044489111,0.048195094,0.044394907,0.310344828,60
0.044042117,0.044552281,0.046528006,0.044310292,0.046725474,0.044247275,0.310344828,70
0.039779181,0.038367718,0.042525621,0.038344583,0.042760411,0.038321982,0.310344828,80
0.038854544,0.038311006,0.041053863,0.037980197,0.041239479,0.037923928,0.310344828,90
0.037909942,0.035418872,0.040250596,0.035441867,0.040450547,0.0354264,0.310344828,100
0.113387827,0.117766099,0.123644598,0.1203509,0.12385853,0.119918866,0.345603272,10
0.079274782,0.081355958,0.084792154,0.081286985,0.085136441,0.081096865,0.345603272,20
0.063986212,0.066927694,0.067630349,0.065962598,0.067902949,0.065753528,0.345603272,30
0.05523871,0.055674405,0.058904806,0.055370552,0.05922779,0.055287913,0.345603272,40
0.052235001,0.05198144,0.055712234,0.052121613,0.056017094,0.052085464,0.345603272,50
0.045603797,0.045379774,0.04856401,0.045308926,0.048842788,0.045271529,0.345603272,60
0.04410727,0.041996616,0.04697842,0.042123678,0.047250112,0.042114954,0.345603272,70
0.040343517,0.03837365,0.043116154,0.038588804,0.043387467,0.038596315,0.345603272,80
0.039397545,0.037769031,0.041752567,0.037716182,0.041981749,0.037692279,0.345603272,90
0.037409758,0.035594152,0.039679919,0.035553612,0.039904389,0.035534469,0.345603272,100
0.113357116,0.117895058,0.115854448,0.113268485,0.115685994,0.112333827,0.379844961,10
0.075621485,0.07775362,0.081446084,0.077962044,0.081956172,0.077873385,0.379844961,20
0.064589542,0.064253693,0.069106466,0.063884624,0.069527383,0.063778242,0.379844961,30
0.058116745,0.05767482,0.062142443,0.057917161,0.06253426,0.057889679,0.379844961,40
0.050184251,0.049738071,0.05370891,0.049725745,0.054078675,0.049694097,0.379844961,50
0.045048717,0.044451544,0.048229694,0.044450205,0.048576037,0.044431514,0.379844961,60
0.04370772,0.042172422,0.046425619,0.042090441,0.046718095,0.042061414,0.379844961,70
0.041510962,0.038826603,0.044039155,0.038806917,0.044314502,0.038791635,0.379844961,80
0.038584087,0.037105069,0.040823599,0.036927382,0.041071616,0.03689333,0.379844961,90
0.037639137,0.03470852,0.040002796,0.034778379,0.040265895,0.034778121,0.379844961,100
0.10883465,0.113269745,0.116325527,0.113017799,0.116821925,0.112681876,0.412844037,10
0.076502613,0.07916334,0.080556706,0.077992258,0.080962012,0.077760019,0.412844037,20
0.063388335,0.064373509,0.067611464,0.06399577,0.068072884,0.063894277,0.412844037,30
0.054774668,0.053605064,0.058748515,0.05361874,0.059208194,0.053600162,0.412844037,40
0.048296664,0.047346705,0.051973801,0.047601987,0.052417035,0.047625612,0.412844037,50
0.045292426,0.044123977,0.048245075,0.043897578,0.048600784,0.04385562,0.412844037,60
0.042750168,0.040913674,0.045395318,0.040609668,0.045714961,0.040558689,0.412844037,70
0.041537587,0.038238722,0.044344382,0.038355059,0.044684386,0.038362305,0.412844037,80
0.038844387,0.036531281,0.041138379,0.03643927,0.041418958,0.036418432,0.412844037,90
0.037827224,0.034187162,0.040089809,0.034147276,0.040366999,0.034135983,0.412844037,100
0.109665371,0.114364211,0.115562343,0.112756011,0.115973386,0.112228856,0.444444444,10
0.073485904,0.075281875,0.078675056,0.074830736,0.079309547,0.074736413,0.444444444,20
0.061376283,0.062328564,0.066135262,0.062418075,0.066736623,0.062406727,0.444444444,30
0.048896256,0.048784938,0.052720861,0.048527884,0.053247148,0.048512048,0.444444444,40
0.047735526,0.046777562,0.05112641,0.046625355,0.051576231,0.046600534,0.444444444,50
0.044920941,0.042555788,0.048042392,0.042604101,0.048455642,0.042608963,0.444444444,60
0.041648618,0.038932469,0.04443408,0.038902666,0.044806839,0.03889829,0.444444444,70
0.040458538,0.036888168,0.043101462,0.036967181,0.04345427,0.036977241,0.444444444,80
0.037688679,0.033899088,0.040255428,0.033986748,0.040601358,0.034000361,0.444444444,90
0.035615102,0.032996721,0.03768636,0.032772896,0.03796815,0.032739708,0.444444444,100
0.103072275,0.107567462,0.109246099,0.106546683,0.109985663,0.106329571,0.47454844,10
0.073426085,0.075150125,0.078368157,0.07458866,0.079026527,0.074483012,0.47454844,20
0.058897789,0.058714448,0.063818179,0.059174108,0.064511968,0.059251737,0.47454844,30
0.052090283,0.051865278,0.055660521,0.051555352,0.056171659,0.051509444,0.47454844,40
0.046648769,0.044092949,0.050232505,0.044153049,0.050750212,0.044175373,0.47454844,50
0.042654447,0.041992592,0.045281416,0.041531754,0.04566608,0.041462367,0.47454844,60
0.041639911,0.038176859,0.044518439,0.038291704,0.044933624,0.038313666,0.47454844,70
0.037987616,0.034445251,0.0406373,0.034494809,0.041025148,0.034509903,0.47454844,80
0.037066568,0.033231011,0.039425738,0.033222496,0.039770103,0.033225313,0.47454844,90
0.035832981,0.03084418,0.038237425,0.031053811,0.038588379,0.031091661,0.47454844,100
0.095919481,0.098969562,0.103866093,0.099278815,0.10506918,0.09946144,0.50310559,10
0.069790243,0.071191197,0.075580998,0.071435888,0.076459839,0.071510914,0.50310559,20
0.058819235,0.057060673,0.063793402,0.057647287,0.064545464,0.057767359,0.50310559,30
0.05033711,0.049123686,0.054445613,0.049506088,0.055081254,0.049587056,0.50310559,40
0.04569229,0.043688403,0.048979525,0.043620418,0.049491912,0.043624853,0.50310559,50
0.041223294,0.037849531,0.044366434,0.037929157,0.044860815,0.037963809,0.50310559,60
0.040352682,0.036419834,0.043345318,0.036645901,0.04381041,0.036694327,0.50310559,70
0.038371535,0.03543236,0.040747217,0.035291955,0.041117672,0.035273835,0.50310559,80
0.03580285,0.032181026,0.038099313,0.032118289,0.038460004,0.032115873,0.50310559,90
0.03543333,0.031048378,0.037604962,0.03106141,0.037944223,0.031068923,0.50310559,100
0.096040241,0.098629003,0.104405484,0.099472007,0.105724165,0.099735138,0.53010279,10
0.064407983,0.06512113,0.069954856,0.064876167,0.070922051,0.064958152,0.53010279,20
0.055796515,0.054741374,0.060593088,0.055189712,0.061386831,0.055312358,0.53010279,30
0.046417022,0.045991604,0.050022623,0.045737568,0.050641165,0.045735322,0.53010279,40
0.045352717,0.043021699,0.048663876,0.043167109,0.049210753,0.043210409,0.53010279,50
0.040581574,0.03784083,0.043649543,0.037952861,0.044162544,0.0379932,0.53010279,60
0.039960435,0.035514246,0.04264114,0.035519599,0.043083783,0.035535057,0.53010279,70
0.036646207,0.03291334,0.0390966,0.032875113,0.039505085,0.032881371,0.53010279,80
0.035552952,0.030752691,0.037852788,0.030806604,0.03823511,0.030827519,0.53010279,90
0.034120138,0.028948896,0.036273923,0.028946062,0.036632382,0.028956272,0.53010279,100
0.090958496,0.093360146,0.099476803,0.094417381,0.100989467,0.094823609,0.555555556,10
0.063951375,0.063255108,0.069547652,0.063805649,0.070568567,0.064029685,0.555555556,20
0.052211224,0.050825786,0.057180408,0.051545479,0.058067092,0.051748572,0.555555556,30
0.046116622,0.044122094,0.049569666,0.043906098,0.050191909,0.043917698,0.555555556,40
0.045300738,0.041570707,0.048572934,0.04182011,0.049141859,0.041889698,0.555555556,50
0.040758601,0.03686244,0.043656809,0.036996902,0.044165012,0.037044161,0.555555556,60
0.037702126,0.03335272,0.04045667,0.033507937,0.040941289,0.033557943,0.555555556,70
0.035830535,0.030639385,0.038319839,0.030702632,0.038757528,0.03073384,0.555555556,80
0.035395377,0.030208093,0.037635089,0.03031371,0.038026268,0.030345247,0.555555556,90
0.033680402,0.028115206,0.035710974,0.028095249,0.036066854,0.028103728,0.555555556,100
0.087424616,0.089649016,0.096136349,0.0906273,0.097864672,0.091124354,0.579500657,10
0.06195306,0.061657321,0.068068384,0.06257613,0.069234455,0.062879288,0.579500657,20
0.051333573,0.049028444,0.055778945,0.049315283,0.056619365,0.049454907,0.579500657,30
0.046446295,0.044569965,0.049909701,0.04471409,0.050555668,0.044782954,0.579500657,40
0.039806683,0.038093773,0.042565546,0.037638202,0.043092586,0.037592066,0.579500657,50
0.03937068,0.035607647,0.042159793,0.035667958,0.042675517,0.035705948,0.579500657,60
0.037352974,0.033054911,0.039722325,0.032911247,0.040160459,0.032905345,0.579500657,70
0.035358626,0.030303337,0.037600902,0.030310869,0.038014714,0.03033152,0.579500657,80
0.034838413,0.029277181,0.037070266,0.02946837,0.03747893,0.029518812,0.579500657,90
0.032241556,0.025804928,0.034362601,0.025953859,0.034753258,0.025999524,0.579500657,100
0.082649443,0.08458912,0.090226831,0.085128938,0.09193941,0.085655286,0.60199005,10
0.059101489,0.058935532,0.064439533,0.059263712,0.065538383,0.05948673,0.60199005,20
0.050058442,0.048986602,0.054334728,0.049217814,0.05518515,0.049344787,0.60199005,30
0.044423914,0.041094248,0.048158931,0.041389625,0.048887406,0.04150703,0.60199005,40
0.040704041,0.037835418,0.043672052,0.037803491,0.044250765,0.037835176,0.60199005,50
0.036985948,0.033650521,0.039655086,0.033632552,0.040176084,0.033661459,0.60199005,60
0.036251346,0.030869525,0.038910015,0.031184529,0.039420658,0.031273295,0.60199005,70
0.034330791,0.029169145,0.036542546,0.029214178,0.036968807,0.029244104,0.60199005,80
0.03125117,0.026095061,0.033343289,0.026061606,0.033749296,0.02607704,0.60199005,90
0.031637878,0.026109372,0.033583789,0.026194432,0.033958142,0.026226439,0.60199005,100
0.080714374,0.082220585,0.088157737,0.082869657,0.089911575,0.083443815,0.623085984,10
0.053505564,0.053542766,0.058425913,0.053377576,0.059550084,0.053566157,0.623085984,20
0.048849433,0.046309436,0.053255096,0.046752442,0.054159154,0.0469329,0.623085984,30
0.042812808,0.040740526,0.045984979,0.040684208,0.046640832,0.040730822,0.623085984,40
0.037860759,0.03431725,0.040819761,0.034391214,0.041427083,0.034459023,0.623085984,50
0.037463547,0.032503287,0.040327043,0.032925611,0.040900167,0.033045624,0.623085984,60
0.034901119,0.029741429,0.037326184,0.029869167,0.037813357,0.029924321,0.623085984,70
0.032248733,0.027679011,0.034366453,0.027630731,0.034793707,0.027644642,0.623085984,80
0.030497357,0.02628497,0.032390955,0.02617277,0.032773634,0.026169078,0.623085984,90
0.029662824,0.024884503,0.031469477,0.024853517,0.031833048,0.024863891,0.623085984,100
0.077329717,0.080149941,0.083813193,0.080158711,0.085477917,0.080610795,0.642857143,10
0.056015828,0.055142835,0.061072814,0.055816312,0.062200442,0.056128703,0.642857143,20
0.044472952,0.042375269,0.048218594,0.04231238,0.049053347,0.04242017,0.642857143,30
0.039812796,0.036850339,0.043012117,0.036825336,0.04370597,0.036897477,0.642857143,40
0.037552298,0.033977058,0.040346191,0.034120412,0.040938515,0.034199958,0.642857143,50
0.034466009,0.029992301,0.037017421,0.029991654,0.037554983,0.030033507,0.642857143,60
0.033910316,0.028859664,0.036382695,0.029146978,0.036895336,0.029236187,0.642857143,70
0.032406225,0.026639363,0.034619813,0.026834369,0.035078015,0.026900102,0.642857143,80
0.029843656,0.024945844,0.031749099,0.024984169,0.032146865,0.025013679,0.642857143,90
0.030033087,0.022834184,0.031953015,0.023131958,0.032349602,0.023215114,0.642857143,100
0.072542814,0.073854083,0.079305748,0.073701267,0.08115102,0.074253821,0.661375661,10
0.052210209,0.05263799,0.056701959,0.052767907,0.057778142,0.052979575,0.661375661,20
0.045602133,0.043456187,0.048947477,0.04316705,0.04970907,0.043204305,0.661375661,30
0.039403465,0.037720583,0.042342938,0.037535337,0.043000399,0.037559902,0.661375661,40
0.036156512,0.033044696,0.038721656,0.033030704,0.039286068,0.033075987,0.661375661,50
0.033471329,0.030361188,0.035669945,0.030198179,0.036152856,0.030199364,0.661375661,60
0.031637972,0.026813396,0.033861293,0.026936452,0.034342939,0.02699699,0.661375661,70
0.03155106,0.025897352,0.033619608,0.026096062,0.034062746,0.026164226,0.661375661,80
0.028423658,0.023845323,0.030196736,0.023775615,0.030580556,0.023783088,0.661375661,90
0.02765357,0.023214504,0.029258875,0.023042635,0.029605457,0.023022725,0.661375661,100
