eta2,epsilon2,omega2,N
0.015818444,-0.002788685,-0.004368039,30
0.015673595,-0.002937281,-0.004513204,30
0.017386824,-0.001179744,-0.002764818,30
0.0178186,-0.000736802,-0.002322622,30
0.01834293,-0.000198911,-0.001788733,30
0.017139027,-0.00143395,-0.003017723,30
0.012429407,-0.00626537,-0.007829845,30
0.020960912,0.002486777,0.000885038,30
0.016386014,-0.002206437,-0.003785599,30
0.016588069,-0.001999157,-0.003582732,30
0.017817692,-0.000737733,-0.002323528,30
0.014260984,-0.004386425,-0.005958527,30
0.019468076,0.000955333,-0.000636404,30
0.017483987,-0.001080068,-0.002664699,30
0.01388099,-0.004776246,-0.006347053,30
0.021066122,0.002594709,0.00099791,30
0.021728676,0.003274398,0.001671552,30
0.019325597,0.00080917,-0.000784439,30
0.017895674,-0.000657734,-0.002245047,30
0.019547771,0.00103709,-0.000556165,30
0.014907781,-0.0037229,-0.005298632,30
0.01874918,0.000217845,-0.001374028,30
0.016266068,-0.002329485,-0.003907942,30
0.018902742,0.000375379,-0.001217215,30
0.019880456,0.001378378,-0.00021798,30
0.016952034,-0.001625778,-0.003211046,30
0.017729272,-0.000828439,-0.002412069,30
0.017798647,-0.000757271,-0.002343361,30
0.016219754,-0.002376997,-0.003957067,30
0.020763723,0.002284489,0.000687994,30
0.016853576,-0.001726783,-0.003308418,30
0.017031903,-0.001543844,-0.003130102,30
0.01575134,-0.002857525,-0.004434902,30
0.016714066,-0.0018699,-0.003451446,30
0.020786194,0.002307541,0.000708693,30
0.016817319,-0.001763977,-0.003347029,30
0.017517956,-0.00104522,-0.002632439,30
0.020113323,0.001617268,2.26E-05,30
0.01786301,-0.000691243,-0.002277124,30
0.01864679,0.000112807,-0.001474704,30
0.014100219,-0.004551348,-0.006121665,30
0.020264917,0.001772782,0.000176148,30
0.018154678,-0.000392032,-0.001977391,30
0.017274459,-0.001295015,-0.002877627,30
0.016939794,-0.001638335,-0.003221042,30
0.023210073,0.004794106,0.003186132,30
0.014896974,-0.003733987,-0.00531016,30
0.017184993,-0.001386794,-0.002970418,30
0.019893549,0.00139181,-0.000201128,30
0.017831912,-0.000723145,-0.002311429,30
0.014741356,-0.003893629,-0.005470379,30
0.016621574,-0.001964785,-0.003545465,30
0.020406763,0.001918297,0.00032075,30
0.016551412,-0.002036762,-0.003620025,30
0.01999419,0.001495054,-9.94E-05,30
0.01927064,0.000752791,-0.000839442,30
0.019180205,0.000660017,-0.000934353,30
0.016445739,-0.002145168,-0.003726741,30
0.017730468,-0.000827212,-0.002413311,30
0.01777764,-0.00077882,-0.00236495,30
0.018838016,0.000308979,-0.001279636,30
0.015433515,-0.003183569,-0.004759369,30
0.018309257,-0.000233455,-0.00182127,30
0.017289022,-0.001280075,-0.002865555,30
0.01566719,-0.002943851,-0.004520612,30
0.017951074,-0.000600901,-0.002186916,30
0.018268549,-0.000275216,-0.00186179,30
0.017190619,-0.001381023,-0.002964452,30
0.016970181,-0.001607162,-0.003188146,30
0.011865974,-0.006843375,-0.008406493,30
0.013083491,-0.00559437,-0.007163803,30
0.01709319,-0.001480972,-0.003064446,30
0.017281113,-0.001288189,-0.002873477,30
0.016766867,-0.001815734,-0.003399975,30
0.015123326,-0.003501781,-0.005074984,30
0.013937919,-0.004717845,-0.006287001,30
0.017494615,-0.001069165,-0.002657721,30
0.01742532,-0.001140252,-0.002725416,30
0.015371163,-0.003247534,-0.004825579,30
0.015505456,-0.003109768,-0.004685061,30
0.017322633,-0.001245595,-0.002832845,30
0.016950823,-0.001627021,-0.003210071,30
0.016931257,-0.001647093,-0.003230227,30
0.017816516,-0.000738939,-0.002325496,30
0.016071228,-0.002529364,-0.004108561,30
0.009660253,-0.004294244,-0.005479364,40
0.011850812,-0.002061559,-0.003252556,40
0.0118048,-0.002108457,-0.00330176,40
0.010385609,-0.003554939,-0.004744891,40
0.012394052,-0.001507872,-0.002702206,40
0.01436286,0.000498797,-0.000700463,40
0.012849508,-0.001043657,-0.002238046,40
0.014437684,0.00057506,-0.000626006,40
0.013090563,-0.000797967,-0.001995166,40
0.015605677,0.001765515,0.000561576,40
0.014019809,0.000149149,-0.001049255,40
0.013407641,-0.000474792,-0.001672458,40
0.009126218,-0.00483855,-0.006022439,40
0.014758033,0.00090157,-0.000299284,40
0.010417024,-0.00352292,-0.004712211,40
0.012476732,-0.001423602,-0.002619286,40
0.015452365,0.001609254,0.000406032,40
0.014551318,0.00069088,-0.000510785,40
0.014433047,0.000570334,-0.000628242,40
0.014558665,0.000698368,-0.000501909,40
0.014103923,0.000234881,-0.000962834,40
0.01249468,-0.001405309,-0.00259998,40
0.013461496,-0.000419901,-0.001616179,40
0.011371843,-0.002549739,-0.0037394,40
0.013355606,-0.000527827,-0.001725562,40
0.015085979,0.001235822,3.37E-05,40
0.011206199,-0.002718569,-0.00390829,40
0.00978456,-0.004167547,-0.005355163,40
0.01445456,0.000592261,-0.00060938,40
0.011026128,-0.002902103,-0.004091123,40
0.011417931,-0.002502765,-0.003693914,40
0.014448121,0.000585698,-0.000614224,40
0.01584516,0.002009603,0.000803924,40
0.014720751,0.000863571,-0.000338219,40
0.011159017,-0.002766658,-0.003956861,40
0.011935733,-0.001975005,-0.003167608,40
0.013422864,-0.000459275,-0.001658379,40
0.009459314,-0.004499048,-0.005684662,40
0.011777011,-0.002136779,-0.00332824,40
0.01377928,-9.60E-05,-0.001293921,40
0.016525843,0.002703376,0.001497031,40
0.011987599,-0.001922141,-0.003114554,40
0.013204439,-0.000681901,-0.001877722,40
0.013990412,0.000119187,-0.001080738,40
0.013405854,-0.000476613,-0.001673455,40
0.010144007,-0.003801187,-0.00498858,40
0.014835086,0.000980105,-0.000222713,40
0.011589162,-0.002328241,-0.003518364,40
0.013644734,-0.000233139,-0.001431276,40
0.013871471,-2.04E-06,-0.001199827,40
0.014746488,0.000889802,-0.000313326,40
0.013933839,6.15E-05,-0.001137455,40
0.009490299,-0.004467467,-0.005654003,40
0.009779903,-0.004172293,-0.005358658,40
0.014814082,0.000958697,-0.000241953,40
0.012554279,-0.001344564,-0.002538538,40
0.015830767,0.001994934,0.000790943,40
0.013361892,-0.00052142,-0.00171838,40
0.014842567,0.00098773,-0.000214582,40
0.017889751,0.004093513,0.002882986,40
0.016215082,0.002386639,0.00118125,40
0.011211962,-0.002712695,-0.003904146,40
0.01459756,0.000738011,-0.000461926,40
0.010498793,-0.003439578,-0.004628838,40
0.013656086,-0.000221568,-0.00141932,40
0.010791801,-0.003140936,-0.004330655,40
0.016800975,0.002983799,0.001776893,40
0.013494221,-0.000386546,-0.001584025,40
0.014530729,0.000669895,-0.000527837,40
0.013957189,8.53E-05,-0.001113846,40
0.01166843,-0.002247448,-0.003439728,40
0.012340706,-0.001562244,-0.002756708,40
0.012335638,-0.00156741,-0.00276241,40
0.01211293,-0.0017944,-0.002986989,40
0.012962106,-0.000928894,-0.002123906,40
0.015480563,0.001637995,0.000434697,40
0.012306916,-0.001596685,-0.002789188,40
0.010309209,-0.003632808,-0.004820796,40
0.013068415,-0.000820541,-0.00201763,40
0.012216368,-0.001688973,-0.002883896,40
0.014606509,0.000747132,-0.000452975,40
0.012479033,-0.001421257,-0.002614953,40
0.014452083,0.000589736,-0.000609768,40
0.015779705,0.001942889,0.000738983,40
0.014043191,0.00017298,-0.00102593,40
0.012783862,-0.001110566,-0.002305738,40
0.013819939,-5.46E-05,-0.001253422,40
0.010692054,-0.003242601,-0.004429617,40
0.012638733,-0.001258486,-0.002452758,40
0.013057965,-0.000831192,-0.002028333,40
0.015677081,0.001838291,0.000633132,40
0.01348284,-0.000398146,-0.001595036,40
0.013418383,-0.000463843,-0.001659478,40
0.010034258,-0.003913047,-0.005099897,40
0.011781444,-0.002132262,-0.003325149,40
0.012599978,-0.001297986,-0.002492025,40
0.01326473,-0.00062045,-0.001814871,40
0.01079936,-0.003133231,-0.004323064,40
0.012171948,-0.001734247,-0.002927854,40
0.016313916,0.002487374,0.001282127,40
0.011954018,0.000882486,-8.06E-05,50
0.010963178,-0.00012352,-0.001085318,50
0.010580689,-0.000511863,-0.001472416,50
0.009476786,-0.001632663,-0.002589969,50
0.009939349,-0.00116302,-0.002121691,50
0.009023943,-0.002092437,-0.003049286,50
0.009079995,-0.002035528,-0.002992494,50
0.010929506,-0.000157708,-0.001118774,50
0.010228532,-0.00086941,-0.001830119,50
0.0105426,-0.000550536,-0.001511304,50
0.009512966,-0.00159593,-0.002553649,50
0.011938426,0.000866655,-9.79E-05,50
0.008674441,-0.002447289,-0.003402864,50
0.011822886,0.000749347,-0.000214031,50
0.01222418,0.001156783,0.000191726,50
0.011962856,0.000891459,-7.20E-05,50
0.009027389,-0.002088938,-0.003045853,50
0.009310276,-0.001801722,-0.002758623,50
0.010654135,-0.000437294,-0.001398882,50
0.009488347,-0.001620925,-0.00257889,50
0.009295734,-0.001816486,-0.002773978,50
0.011119571,3.53E-05,-0.000927105,50
0.010021963,-0.001079141,-0.002038716,50
0.011155536,7.18E-05,-0.000889704,50
0.009247221,-0.001865742,-0.002823648,50
0.011072551,-1.25E-05,-0.000973569,50
0.00855669,-0.002566842,-0.003522719,50
0.011019975,-6.59E-05,-0.001026953,50
0.010801896,-0.000287271,-0.00124772,50
0.011218041,0.000135244,-0.000826151,50
0.008298099,-0.002829392,-0.00378523,50
0.009865808,-0.001237687,-0.002196684,50
0.012833979,0.001775916,0.000808807,50
0.009118337,-0.001996598,-0.002953363,50
0.01019026,-0.000908269,-0.00186805,50
0.010727276,-0.000363033,-0.001324588,50
0.008562712,-0.002560728,-0.003516444,50
0.012821069,0.001762808,0.000798152,50
0.007700267,-0.003436374,-0.004389704,50
0.012680038,0.001619619,0.000653779,50
0.013098809,0.002044799,0.001077666,50
0.01059018,-0.000502228,-0.001462815,50
0.011683204,0.000607527,-0.000356275,50
0.012186204,0.001118225,0.000153488,50
0.008247316,-0.002880951,-0.003834887,50
0.00935532,-0.001755988,-0.002713227,50
0.012151091,0.001082576,0.000119146,50
0.011329178,0.000248082,-0.000713809,50
0.009123303,-0.001991556,-0.002949764,50
0.011026074,-5.97E-05,-0.001020736,50
0.010486196,-0.000607803,-0.001567229,50
0.009094795,-0.002020501,-0.002976479,50
0.008334089,-0.00279285,-0.003748033,50
0.013761387,0.002717518,0.001749773,50
0.008597797,-0.002525106,-0.003481047,50
0.01294817,0.001891855,0.000925315,50
0.008778748,-0.002341385,-0.003297234,50
0.009695379,-0.001410724,-0.002368909,50
0.011324465,0.000243297,-0.000719448,50
0.011508813,0.000430467,-0.000531896,50
0.010581783,-0.000510752,-0.00147162,50
0.011683307,0.000607632,-0.000355686,50
0.008964015,-0.002153282,-0.003110086,50
0.011404057,0.000324107,-0.000639578,50
0.012471321,0.001407707,0.000442257,50
0.010458269,-0.000636157,-0.001596269,50
0.011296404,0.000214807,-0.000747718,50
0.011563745,0.000486239,-0.000476228,50
0.008546881,-0.002576801,-0.003532704,50
0.011371352,0.000290902,-0.000671471,50
0.012138502,0.001069794,0.000105771,50
0.011069098,-1.60E-05,-0.000977385,50
0.012610637,0.001549155,0.000584079,50
0.010349362,-0.000746731,-0.001706746,50
