N,eta2,epsilon2,omega2
40,0.055598657,0.056667862,0.056504231
50,0.050912954,0.051692234,0.051572383
60,0.044328829,0.044892331,0.044802752
70,0.040946049,0.041391114,0.041321417
80,0.039707247,0.040084214,0.040025165
90,0.03601609,0.036319596,0.036272279
100,0.035699675,0.035970127,0.035927906
10,0.115346077,0.12495825,0.123510359
20,0.07692793,0.079964559,0.079495697
30,0.064122327,0.065780663,0.065523828
40,0.056497851,0.057584348,0.057415981
50,0.049278062,0.050032318,0.049914875
60,0.04510799,0.045681397,0.045591763
70,0.043120634,0.043589336,0.043516838
80,0.039756835,0.040134274,0.040076358
90,0.037413204,0.037728484,0.037678823
100,0.035490197,0.035759062,0.035717099
10,0.114191493,0.123707451,0.122264782
20,0.078552062,0.081652801,0.081166963
30,0.065516248,0.067210634,0.066948713
40,0.053358778,0.054384909,0.054223756
50,0.050666402,0.051441908,0.051322479
60,0.047718102,0.048324688,0.048229266
70,0.041842423,0.042297232,0.042227571
80,0.040215183,0.040596972,0.040538029
90,0.036230267,0.036535578,0.036487721
100,0.036038708,0.036311728,0.036269019
10,0.112909539,0.122318667,0.12086192
20,0.077518279,0.080578211,0.080096511
30,0.064706346,0.066379786,0.066124053
40,0.053560554,0.054590565,0.05442985
50,0.05091014,0.051689377,0.051568609
60,0.04549373,0.04607204,0.045982333
70,0.04232419,0.042784235,0.042713475
80,0.040263857,0.040646109,0.04058682
90,0.036769827,0.037079685,0.037031471
100,0.035640814,0.035910821,0.035869188
10,0.111233351,0.120502797,0.119102002
20,0.077214259,0.08026219,0.079790772
30,0.063878664,0.065530698,0.065277329
40,0.05670727,0.057797794,0.057625631
50,0.051009394,0.05179015,0.051668731
60,0.044797662,0.045367124,0.045278532
70,0.040869398,0.04131363,0.041245279
80,0.040465766,0.040849935,0.040790396
90,0.037352109,0.037666874,0.037618405
100,0.035339045,0.035606765,0.035564722
10,0.112041752,0.121378565,0.12000476
20,0.082417571,0.085670896,0.085181693
30,0.066682894,0.068407452,0.068150001
