eta2r,eta2not,epsilon2r,epsilon2not,omega2r,omega2not,eta2p,N
-0.004189386,0.015725933,-0.011518297,0.008780008,-0.012997099,0.00733103,0.623085984,40
-0.001959239,0.017705469,-0.007758319,0.012207379,-0.008938483,0.011051791,0.623085984,50
-0.004879488,0.014820861,-0.009732796,0.010217982,-0.010718843,0.009252102,0.623085984,60
-0.006930747,0.012664934,-0.011102973,0.008705705,-0.011949034,0.007876469,0.623085984,70
-0.004342397,0.01466305,-0.007961919,0.011223958,-0.008700319,0.010500261,0.623085984,80
-0.007350364,0.012511308,-0.010588547,0.009440499,-0.011246583,0.008795902,0.623085984,90
-0.007062794,0.012943399,-0.00997171,0.010186046,-0.010563821,0.009606172,0.623085984,100
0.023868002,0.041338641,-0.003904903,0.015021623,-0.009587864,0.009462218,0.642857143,10
0.005474282,0.023826868,-0.008407373,0.010669657,-0.011287531,0.007854243,0.642857143,20
-0.000769235,0.018506202,-0.010025582,0.009748358,-0.011954025,0.007864806,0.642857143,30
-0.003156051,0.015769931,-0.010084877,0.009205067,-0.011532367,0.007790561,0.642857143,40
-0.003228281,0.016495807,-0.008744165,0.011281822,-0.009901498,0.0101528,0.642857143,50
-0.003425401,0.016272088,-0.008008896,0.011938985,-0.008972709,0.010998975,0.642857143,60
-0.00515494,0.014501722,-0.009092959,0.010777362,-0.009920572,0.009969798,0.642857143,70
-0.005242252,0.01441981,-0.008682617,0.011166111,-0.009406387,0.010459996,0.642857143,80
-0.006649995,0.012939955,-0.009715665,0.010039368,-0.010360087,0.009410481,0.642857143,90
-0.006220528,0.013340385,-0.008973281,0.010735821,-0.009552807,0.010170313,0.642857143,100
0.021784404,0.038593987,-0.004618924,0.013591458,-0.010193152,0.008154438,0.661375661,10
0.006212573,0.025382111,-0.006908944,0.013017286,-0.009720589,0.010284772,0.661375661,20
0.00281271,0.021692124,-0.005872073,0.013495601,-0.007748193,0.011671297,0.661375661,30
-0.001304842,0.017354356,-0.007841942,0.011176088,-0.00925372,0.009802229,0.661375661,40
-0.001026916,0.01729248,-0.00622566,0.012374136,-0.007352712,0.011276968,0.661375661,50
-0.003900146,0.015202247,-0.008254271,0.011090949,-0.009196491,0.010174518,0.661375661,60
-0.003857665,0.014894193,-0.007580295,0.011375388,-0.008387186,0.010590313,0.661375661,70
-0.00395049,0.015026109,-0.007202783,0.011953974,-0.007908949,0.011267219,0.661375661,80
-0.004323693,0.014540916,-0.007213705,0.011809876,-0.007841591,0.011199106,0.661375661,90
-0.003968872,0.01473033,-0.006564275,0.012276588,-0.007128926,0.011727258,0.661375661,100
