N,stdev,omniP,overallBF,oompcc,oomchance
10,11.5,0.096119331,1.693560958,0.533333333,0.746
10,11.5,0.903691813,0.234230324,0.5,0.897
10,11.5,0.42064032,0.424005841,0.5,0.883
10,11.5,0.239432546,0.747274478,0.633333333,0.074
10,11.5,0.489379515,0.398419667,0.533333333,0.656
10,11.5,0.041130721,3.802527108,0.633333333,0.101
10,11.5,0.440375019,0.3875604,0.5,0.874
10,11.5,0.410944005,0.470265757,0.566666667,0.447
10,11.5,0.776445587,0.254906548,0.466666667,0.991
10,11.5,0.058224784,2.120214549,0.566666667,0.521
10,11.5,0.030266449,3.378641721,0.533333333,0.715
10,11.5,0.32533449,0.574126322,0.6,0.257
10,11.5,0.653230103,0.289762574,0.466666667,1
10,11.5,0.094489772,1.632397761,0.633333333,0.12
10,11.5,0.832513596,0.249575703,0.5,0.891
10,11.5,0.165048686,1.160851609,0.533333333,0.475
10,11.5,0.771974489,0.29492779,0.633333333,0.114
10,11.5,0.963333587,0.222406868,0.5,0.915
10,11.5,0.677858962,0.28941593,0.533333333,0.697
10,11.5,0.610878519,0.313122788,0.533333333,0.705
10,11.5,0.024158349,4.434832197,0.566666667,0.471
10,11.5,0.853276117,0.237666424,0.566666667,0.462
10,11.5,0.690354695,0.286371563,0.533333333,0.619
10,11.5,0.912220457,0.220224113,0.466666667,0.962
10,11.5,0.148378197,0.971732587,0.566666667,0.395
10,11.5,0.16548144,0.888620853,0.566666667,0.364
10,11.5,0.536172362,0.340810941,0.6,0.212
10,11.5,0.755246963,0.26198972,0.433333333,0.976
10,11.5,0.500513867,0.398179049,0.6,0.282
10,11.5,0.480580806,0.418853987,0.533333333,0.748
10,11.5,0.05897841,2.24593484,0.533333333,0.714
10,11.5,0.078749964,2.286158955,0.6,0.219
10,11.5,0.217255323,0.670228563,0.566666667,0.456
10,11.5,0.219639467,0.800348192,0.6,0.239
10,11.5,0.587017972,0.337624035,0.6,0.279
10,11.5,0.001302977,196.9035503,0.633333333,0.124
10,11.5,0.14867696,1.163199614,0.6,0.229
10,11.5,0.647470196,0.303655842,0.5,0.875
10,11.5,0.359353811,0.54157501,0.566666667,0.457
10,11.5,0.977349961,0.215015506,0.533333333,0.74
10,11.5,0.091508035,1.525842077,0.566666667,0.51
10,11.5,0.855399958,0.237681938,0.6,0.273
10,11.5,0.218343238,0.683788296,0.566666667,0.473
10,11.5,0.512142429,0.360121212,0.533333333,0.711
10,11.5,0.483913259,0.393818073,0.6,0.22
10,11.5,0.535858464,0.338151048,0.533333333,0.744
10,11.5,0.36456308,0.465950253,0.533333333,0.734
10,11.5,0.395045802,0.453259652,0.5,0.891
10,11.5,0.673595712,0.306754001,0.4,1
10,11.5,0.397092078,0.417276075,0.533333333,0.703
10,11.5,0.320423353,0.556310989,0.566666667,0.428
10,11.5,0.264460802,0.556503723,0.5,0.876
10,11.5,0.479522473,0.542728786,0.533333333,0.644
10,11.5,0.504721488,0.391884408,0.633333333,0.088
10,11.5,0.116178793,1.53407933,0.633333333,0.03
10,11.5,0.610093904,0.317657724,0.566666667,0.456
10,11.5,0.632464263,0.306810833,0.533333333,0.741
10,11.5,0.719954872,0.273077726,0.5,0.704
10,11.5,0.404273921,0.461215787,0.533333333,0.623
10,11.5,0.367877195,0.461955935,0.533333333,0.685
10,11.5,0.818665298,0.247474454,0.533333333,0.59
10,11.5,0.10672308,1.435037262,0.5,0.747
10,11.5,0.774877269,0.246571632,0.533333333,0.756
10,11.5,0.222114252,0.844419521,0.5,0.564
10,11.5,0.352225521,0.571016232,0.566666667,0.416
10,11.5,0.001582972,43.97215429,0.666666667,0.03
10,11.5,0.36167844,0.459085415,0.533333333,0.596
10,11.5,0.223270539,0.776837143,0.566666667,0.478
10,11.5,0.400655405,0.450963622,0.5,0.771
10,11.5,0.50359927,0.377181752,0.533333333,0.62
10,11.5,0.548568854,0.350676516,0.6,0.199
10,11.5,0.224831044,0.793619853,0.6,0.218
10,11.5,0.431290755,0.460494796,0.566666667,0.315
10,11.5,0.089108836,1.82942802,0.566666667,0.419
10,11.5,0.058708683,2.45734533,0.5,0.904
10,11.5,0.585409215,0.324404974,0.5,0.931
10,11.5,0.12190057,0.949441934,0.533333333,0.704
10,11.5,0.859620673,0.250541557,0.6,0.24
10,11.5,0.137418886,1.038795753,0.566666667,0.484
10,11.5,0.387420489,0.453605974,0.533333333,0.667
10,11.5,0.895332579,0.226898056,0.533333333,0.729
10,11.5,0.000559079,336.109257,0.633333333,0.132
10,11.5,0.450745072,0.417415206,0.533333333,0.717
10,11.5,0.134998061,1.221406097,0.533333333,0.585
10,11.5,0.420625343,0.450343492,0.566666667,0.405
10,11.5,0.755692379,0.268406309,0.533333333,0.472
10,11.5,0.357377486,0.46869083,0.466666667,0.901
10,11.5,0.458454418,0.405721246,0.566666667,0.511
10,11.5,0.03679538,3.545518334,0.6,0.246
10,11.5,0.365684839,0.53223041,0.566666667,0.471
10,11.5,0.406614416,0.472139506,0.533333333,0.7
10,11.5,0.583593254,0.33118018,0.566666667,0.5
10,11.5,0.693590403,0.283312229,0.5,0.796
10,11.5,0.982260648,0.215400074,0.5,0.904
10,11.5,0.743001907,0.249115816,0.5,0.857
10,11.5,0.132943519,0.939018274,0.566666667,0.49
10,11.5,0.532970868,0.344026892,0.633333333,0.107
10,11.5,0.379815968,0.470407549,0.633333333,0.108
10,11.5,0.613103417,0.313431768,0.633333333,0.102
10,11.5,0.693307297,0.278341637,0.466666667,0.927
10,11.5,0.874988938,0.236324525,0.533333333,0.532
10,11.5,0.482902023,0.368452011,0.533333333,0.751
10,11.5,0.492514973,0.363297319,0.566666667,0.456
10,11.5,0.934940798,0.217669951,0.6,0.218
10,11.5,0.625263577,0.301956443,0.533333333,0.62
10,11.5,0.370975885,0.500207018,0.6,0.191
10,11.5,0.542573812,0.350197524,0.566666667,0.252
10,11.5,0.056609806,2.132244958,0.533333333,0.717
10,11.5,0.669902924,0.287580282,0.533333333,0.742
10,11.5,0.110319106,1.498383465,0.533333333,0.672
10,11.5,0.422244368,0.437024456,0.533333333,0.721
10,11.5,0.138392376,1.035962295,0.566666667,0.499
10,11.5,0.909396124,0.22537526,0.5,0.919
10,11.5,0.779686173,0.25628063,0.5,0.9
10,11.5,0.685996136,0.283838177,0.433333333,0.981
10,11.5,0.10749756,1.105055716,0.5,0.832
10,11.5,0.021923142,5.43752409,0.6,0.199
10,11.5,0.799582594,0.242097761,0.633333333,0.097
10,11.5,0.495051591,0.383397378,0.566666667,0.225
10,11.5,0.821645183,0.238947619,0.533333333,0.825
10,11.5,0.896795702,0.224722298,0.566666667,0.402
10,11.5,0.128362906,1.503933962,0.566666667,0.546
10,11.5,0.015454399,11.04371306,0.666666667,0.022
10,11.5,0.354763859,0.478561575,0.5,0.841
10,11.5,0.192908292,0.798118665,0.633333333,0.101
10,11.5,0.100363939,1.547159224,0.566666667,0.459
10,11.5,0.107064811,1.203371209,0.533333333,0.756
10,11.5,0.327432341,0.531665666,0.6,0.283
10,11.5,0.376790717,0.492641878,0.533333333,0.752
10,11.5,0.372546969,0.50381656,0.566666667,0.3
10,11.5,0.229592466,0.78980981,0.7,0.01
10,11.5,0.772137229,0.259168357,0.533333333,0.718
10,11.5,0.324829422,0.504179264,0.666666667,0.029
10,11.5,0.028978082,2.974197504,0.6,0.225
10,11.5,0.025679756,3.532006872,0.566666667,0.481
10,11.5,0.133051751,1.284674825,0.6,0.297
10,11.5,0.91810485,0.226855517,0.466666667,0.97
10,11.5,0.355450351,0.435327332,0.566666667,0.458
10,11.5,0.36032164,0.523770554,0.566666667,0.437
10,11.5,0.525007422,0.358260632,0.533333333,0.529
10,11.5,0.421219621,0.417091378,0.566666667,0.525
10,11.5,0.45064193,0.42571303,0.633333333,0.131
10,11.5,0.326965396,0.496325391,0.433333333,0.944
10,11.5,0.671869731,0.30319786,0.566666667,0.528
10,11.5,0.060412536,1.88491494,0.533333333,0.708
10,11.5,0.910884213,0.24094146,0.566666667,0.462
10,11.5,0.811333192,0.244883722,0.566666667,0.383
10,11.5,0.828898839,0.242454139,0.533333333,0.565
10,11.5,0.139976898,1.164089978,0.566666667,0.376
10,11.5,0.483363273,0.353383199,0.466666667,0.975
10,11.5,0.217897841,0.811888787,0.466666667,0.977
10,11.5,0.075387582,1.726447504,0.666666667,0.03
10,11.5,0.126904932,1.264630192,0.666666667,0.033
10,11.5,0.671869731,0.287413389,0.466666667,0.971
10,11.5,0.378957756,0.479795335,0.533333333,0.614
10,11.5,0.840286927,0.269362945,0.533333333,0.512
10,11.5,0.334032102,0.486642839,0.533333333,0.56
10,11.5,0.27817365,0.638069339,0.533333333,0.624
10,11.5,0.111358799,1.594308483,0.566666667,0.479
10,11.5,0.002800123,79.19060407,0.633333333,0.071
10,11.5,0.192972725,0.899504133,0.6,0.223
10,11.5,0.919466326,0.229861796,0.633333333,0.097
10,11.5,0.476237552,0.433638409,0.533333333,0.651
10,11.5,0.815446716,0.250622966,0.5,0.86
10,11.5,0.73242199,0.284697553,0.533333333,0.55
10,11.5,0.9844114,0.207111922,0.533333333,0.642
10,11.5,0.155180258,1.301731637,0.566666667,0.446
10,11.5,0.685317127,0.285765067,0.466666667,0.952
10,11.5,0.314327102,0.581622864,0.533333333,0.563
10,11.5,0.902355757,0.225569663,0.5,0.888
10,11.5,0.8219774,0.253298667,0.533333333,0.717
10,11.5,0.330998532,0.537845562,0.6,0.291
10,11.5,0.668307073,0.294473904,0.566666667,0.41
10,11.5,0.074315908,2.325888431,0.633333333,0.052
10,11.5,0.605803167,0.327821767,0.5,0.904
10,11.5,0.148914065,1.07982256,0.6,0.242
10,11.5,0.65236883,0.316175562,0.6,0.234
10,11.5,0.471605152,0.394109098,0.6,0.175
10,11.5,0.562629349,0.352167886,0.533333333,0.712
10,11.5,0.317636228,0.541327814,0.466666667,0.982
10,11.5,0.799156875,0.252349688,0.533333333,0.722
10,11.5,0.681270136,0.273741858,0.5,0.818
10,11.5,0.406733998,0.43660358,0.6,0.133
10,11.5,0.786916863,0.263865783,0.5,0.805
10,11.5,0.243515692,0.61470773,0.533333333,0.656
10,11.5,0.32386255,0.562212677,0.533333333,0.702
10,11.5,0.55087659,0.355282635,0.566666667,0.533
10,11.5,0.0153498,10.21906842,0.566666667,0.483
10,11.5,0.578976302,0.334946166,0.633333333,0.13
10,11.5,0.472161363,0.359591029,0.533333333,0.735
10,11.5,0.050828776,2.43836735,0.533333333,0.555
10,11.5,0.360268538,0.466365937,0.5,0.873
10,11.5,0.662966823,0.287690043,0.5,0.891
10,11.5,0.95220951,0.212345527,0.5,0.896
10,11.5,0.440302835,0.436928911,0.5,0.889
10,11.5,0.001003346,267.5964265,0.566666667,0.565
10,11.5,0.476931117,0.396227582,0.633333333,0.094
10,11.5,0.617569707,0.306398327,0.466666667,0.977
10,11.5,0.438627502,0.391021138,0.533333333,0.381
10,11.5,0.766362421,0.268790385,0.466666667,0.979
10,11.5,0.139135596,1.080716813,0.566666667,0.49
10,11.5,0.727867264,0.271667447,0.533333333,0.69
10,11.5,0.328568819,0.496933755,0.6,0.275
10,11.5,0.529485841,0.355336512,0.466666667,0.932
10,11.5,0.171581287,0.775769191,0.5,0.898
10,11.5,0.509964519,0.360101996,0.5,0.913
10,11.5,0.86170432,0.231595102,0.566666667,0.471
10,11.5,0.578001522,0.347758835,0.5,0.884
10,11.5,0.013638193,8.19189989,0.566666667,0.474
10,11.5,0.5533512,0.349372719,0.633333333,0.135
10,11.5,0.55037371,0.331180594,0.6,0.268
10,11.5,0.620367652,0.309084454,0.533333333,0.686
10,11.5,0.599074095,0.303591785,0.533333333,0.741
10,11.5,0.47690637,0.405260794,0.466666667,0.981
10,11.5,0.799066845,0.269434344,0.566666667,0.486
10,11.5,0.110417067,1.376711494,0.566666667,0.572
10,11.5,0.973582751,0.21325151,0.5,0.887
10,11.5,0.77265645,0.274253753,0.566666667,0.462
10,11.5,0.306527294,0.556614602,0.566666667,0.337
10,11.5,0.227059034,0.854187732,0.533333333,0.678
10,11.5,0.243005731,0.61559502,0.5,0.839
10,11.5,0.50854211,0.368753334,0.5,0.889
10,11.5,0.441160961,0.375613261,0.566666667,0.397
10,11.5,0.889946831,0.224015368,0.466666667,0.943
10,11.5,0.060339225,1.841698298,0.533333333,0.717
10,11.5,0.28236657,0.552233139,0.566666667,0.47
10,11.5,0.359143028,0.509496188,0.466666667,0.934
